timestamp,kwh,building,month,hour
2023-02-01 00:00:00,39.08030978693013,BuildingA,Feb,0
2023-02-01 01:00:00,90.31679042044468,BuildingA,Feb,1
2023-02-01 02:00:00,76.22335335771905,BuildingA,Feb,2
2023-02-01 03:00:00,18.92833289706784,BuildingA,Feb,3
2023-02-01 04:00:00,81.61723422458093,BuildingA,Feb,4
2023-02-01 05:00:00,79.60041912749303,BuildingA,Feb,5
2023-02-01 06:00:00,51.97680375298219,BuildingA,Feb,6
2023-02-01 07:00:00,50.049819151731214,BuildingA,Feb,7
2023-02-01 08:00:00,80.93360514454241,BuildingA,Feb,8
2023-02-01 09:00:00,51.71055781361211,BuildingA,Feb,9
2023-02-01 10:00:00,85.22467060689684,BuildingA,Feb,10
2023-02-01 11:00:00,85.52656422459428,BuildingA,Feb,11
2023-02-01 12:00:00,69.04930056494032,BuildingA,Feb,12
2023-02-01 13:00:00,98.97211242516958,BuildingA,Feb,13
2023-02-01 14:00:00,39.95666499229884,BuildingA,Feb,14
2023-02-01 15:00:00,26.000877334284905,BuildingA,Feb,15
2023-02-01 16:00:00,60.03943233550954,BuildingA,Feb,16
2023-02-01 17:00:00,73.40652684875774,BuildingA,Feb,17
2023-02-01 18:00:00,84.8337612398667,BuildingA,Feb,18
2023-02-01 19:00:00,33.2580201170786,BuildingA,Feb,19
2023-02-01 20:00:00,76.11072291212275,BuildingA,Feb,20
2023-02-01 21:00:00,21.33222621320453,BuildingA,Feb,21
2023-02-01 22:00:00,66.9905967583237,BuildingA,Feb,22
2023-02-01 23:00:00,81.45816749475193,BuildingA,Feb,23
2023-02-02 00:00:00,66.95658351623878,BuildingA,Feb,0
2023-02-02 01:00:00,11.76783484047052,BuildingA,Feb,1
2023-02-02 02:00:00,18.46476144200485,BuildingA,Feb,2
2023-02-02 03:00:00,75.23311364863933,BuildingA,Feb,3
2023-02-02 04:00:00,89.61748505695371,BuildingA,Feb,4
2023-02-02 05:00:00,52.2924874295414,BuildingA,Feb,5
2023-02-02 06:00:00,24.19521407435811,BuildingA,Feb,6
2023-02-02 07:00:00,99.74157706470749,BuildingA,Feb,7
2023-02-02 08:00:00,65.45964820094852,BuildingA,Feb,8
2023-02-02 09:00:00,40.58411908963953,BuildingA,Feb,9
2023-02-02 10:00:00,88.07847438578621,BuildingA,Feb,10
2023-02-02 11:00:00,80.24672620809599,BuildingA,Feb,11
2023-02-02 12:00:00,18.058743716746207,BuildingA,Feb,12
2023-02-02 13:00:00,58.01527580781365,BuildingA,Feb,13
2023-02-02 14:00:00,82.97909127861513,BuildingA,Feb,14
2023-02-02 15:00:00,93.41956637931146,BuildingA,Feb,15
2023-02-02 16:00:00,94.319495409804,BuildingA,Feb,16
2023-02-02 17:00:00,26.437451248187404,BuildingA,Feb,17
2023-02-02 18:00:00,51.41020817523484,BuildingA,Feb,18
2023-02-02 19:00:00,93.09880948099286,BuildingA,Feb,19
2023-02-02 20:00:00,88.15196187279611,BuildingA,Feb,20
2023-02-02 21:00:00,35.4569419649599,BuildingA,Feb,21
2023-02-02 22:00:00,65.23226924992004,BuildingA,Feb,22
2023-02-02 23:00:00,60.12219972800569,BuildingA,Feb,23
2023-02-03 00:00:00,70.11647761281847,BuildingA,Feb,0
2023-02-03 01:00:00,95.21270700346597,BuildingA,Feb,1
2023-02-03 02:00:00,90.2588185795302,BuildingA,Feb,2
2023-02-03 03:00:00,44.92260501226208,BuildingA,Feb,3
2023-02-03 04:00:00,99.04719932915916,BuildingA,Feb,4
